gameid,t
00be8a english_10,3202481
04fb8c english_26,3159490
07678d otherlang_39999,84976
186a64 spanish_1,3553954
19d21a english_20,1286961
1ca842 english_4,2452975
205ba7 english_11,1206059
20d9c9 english_0113,1633048
2f1f15 english_17899,2401084
425704 english_10,1465413
4aeea8 english_18,1553472
4d4df6 english_7,2183024
59846e english_7,2905920
627f7f english_5,2726531
6f9df2 english_6,2714733
702bed english_34,0
70685c english_31,3831515
74c8be english_10,254125
7548b4 mandarin_244,1677350
85014c english_25,2173049
8ef650 english_34,643827
915abe english_33,2086194
a30cf7 spanish_24,2454307
a7c538 mandarin_24,52591
a87553 english_5,1242125
a91b7b english_178,2587735
a9e4d1 english_3,2359303
b6982- english_30,4024205
d25aed english_8,2850888
d79ec- english_8,1907688
d8da25 english_24,1750564
ddf4a3 english_4,2170715
e25d10 english_9,2305312
ece6a9 english_32,1577841
f055a9 english_12,969774
f2d959 otherlang_399,9608
f5087e english_34,0
fc6843 english_15,1576353
